id,item_code,stock_id,description,category_id,quantity,is_foreign,inactive
90,HFFLO55,HFFLO55,"Madam Cerice,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
91,HFFLO56,HFFLO56,"Madam Cerice,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
92,HFFLO57,HFFLO57,"Madam Red,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
93,HFFLO58,HFFLO58,"Madam Red,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
94,HFFLO59,HFFLO59,"Madam Red,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
95,HFFLO60,HFFLO60,"Madam Red,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
96,HFFLO61,HFFLO61,"Mixed Bouquet,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
97,HFFLO62,HFFLO62,"Mixed Bouquet,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
98,HFFLO63,HFFLO63,"Mixed Bouquet,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
99,HFFLO64,HFFLO64,"Mixed Bouquet,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
100,HFFLO65,HFFLO65,"Mixed Varieties,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
101,HFFLO66,HFFLO66,"Mixed Varieties,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
102,HFFLO67,HFFLO67,"Mixed Varieties,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
103,HFFLO68,HFFLO68,"Mixed Varieties,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
104,HFFLO69,HFFLO69,"Moonwalk,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
105,HFFLO70,HFFLO70,"Moonwalk,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
106,HFFLO71,HFFLO71,"Moonwalk,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
107,HFFLO72,HFFLO72,"Moonwalk,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
108,HFFLO73,HFFLO73,"Movie Star,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
109,HFFLO74,HFFLO74,"Movie Star,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
110,HFFLO75,HFFLO75,"Movie Star,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
111,HFFLO76,HFFLO76,"Movie Star,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
112,HFFLO77,HFFLO77,"Mult Red,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
113,HFFLO78,HFFLO78,"Mult Red,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
114,HFFLO79,HFFLO79,"Mult Red,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
115,HFFLO80,HFFLO80,"Mult Red,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
116,HFFLO81,HFFLO81,"Nightingale,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
117,HFFLO82,HFFLO82,"Nightingale,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
118,HFFLO83,HFFLO83,"Nightingale,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
119,HFFLO84,HFFLO84,"Nightingale,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
120,HFFLO85,HFFLO85,"Previda,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
