id,item_code,stock_id,description,category_id,quantity,is_foreign,inactive
179,HFFLO31,HFFLO31,"High & Magic,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
180,HFFLO32,HFFLO32,"High & Magic,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
181,HFFLO33,HFFLO33,"James Bond,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
182,HFFLO34,HFFLO34,"James Bond,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
183,HFFLO35,HFFLO35,"James Bond,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
184,HFFLO36,HFFLO36,"James Bond,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
185,HFFLO37,HFFLO37,"Jumilla,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
186,HFFLO38,HFFLO38,"Jumilla,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
187,HFFLO39,HFFLO39,"Jumilla,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
188,HFFLO40,HFFLO40,"Jumilla,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
189,HFFLO41,HFFLO41,"Kingsday,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
190,HFFLO42,HFFLO42,"Kingsday,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
191,HFFLO43,HFFLO43,"Kingsday,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
192,HFFLO44,HFFLO44,"Kingsday,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
193,HFFLO45,HFFLO45,"Labelle,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
194,HFFLO46,HFFLO46,"Labelle,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
195,HFFLO47,HFFLO47,"Labelle,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
196,HFFLO48,HFFLO48,"Labelle,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
197,HFFLO49,HFFLO49,"Lampion,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
198,HFFLO50,HFFLO50,"Lampion,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
199,HFFLO51,HFFLO51,"Lampion,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
200,HFFLO52,HFFLO52,"Lampion,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
201,HFFLO53,HFFLO53,"Madam Cerice,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
202,HFFLO54,HFFLO54,"Madam Cerice,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
203,HFFLO55,HFFLO55,"Madam Cerice,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
204,HFFLO56,HFFLO56,"Madam Cerice,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
205,HFFLO57,HFFLO57,"Madam Red,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
206,HFFLO58,HFFLO58,"Madam Red,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
207,HFFLO59,HFFLO59,"Madam Red,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
208,HFFLO60,HFFLO60,"Madam Red,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
209,HFFLO61,HFFLO61,"Mixed Bouquet,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
210,HFFLO62,HFFLO62,"Mixed Bouquet,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
211,HFFLO63,HFFLO63,"Mixed Bouquet,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
212,HFFLO64,HFFLO64,"Mixed Bouquet,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
213,HFFLO65,HFFLO65,"Mixed Varieties,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
214,HFFLO66,HFFLO66,"Mixed Varieties,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
215,HFFLO67,HFFLO67,"Mixed Varieties,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
216,HFFLO68,HFFLO68,"Mixed Varieties,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
217,HFFLO69,HFFLO69,"Moonwalk,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
218,HFFLO70,HFFLO70,"Moonwalk,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
219,HFFLO71,HFFLO71,"Moonwalk,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
220,HFFLO72,HFFLO72,"Moonwalk,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
221,HFFLO73,HFFLO73,"Movie Star,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
222,HFFLO74,HFFLO74,"Movie Star,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
223,HFFLO75,HFFLO75,"Movie Star,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
224,HFFLO76,HFFLO76,"Movie Star,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
225,HFFLO77,HFFLO77,"Mult Red,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
226,HFFLO78,HFFLO78,"Mult Red,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
227,HFFLO79,HFFLO79,"Mult Red,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
228,HFFLO80,HFFLO80,"Mult Red,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
229,HFFLO81,HFFLO81,"Nightingale,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
230,HFFLO82,HFFLO82,"Nightingale,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
231,HFFLO83,HFFLO83,"Nightingale,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
232,HFFLO84,HFFLO84,"Nightingale,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
233,HFFLO85,HFFLO85,"Previda,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
234,HFFLO86,HFFLO86,"Previda,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
235,HFFLO87,HFFLO87,"Previda,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
236,HFFLO88,HFFLO88,"Previda,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
237,HFFLO89,HFFLO89,"Revival,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
238,HFFLO90,HFFLO90,"Revival,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
239,HFFLO91,HFFLO91,"Revival,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
240,HFFLO92,HFFLO92,"Revival,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
241,HFFLO93,HFFLO93,"Rosa Mix,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
242,HFFLO94,HFFLO94,"Rosa Mix,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
243,HFFLO95,HFFLO95,"Rosa Mix,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
244,HFFLO96,HFFLO96,"Rosa Mix,72cm,0 Boxes,0 Stems Per Box",1,1,1,0
245,HFFLO97,HFFLO97,"Sunny Confidential,42cm,0 Boxes,0 Stems Per Box",1,1,1,0
246,HFFLO98,HFFLO98,"Sunny Confidential,52cm,0 Boxes,0 Stems Per Box",1,1,1,0
247,HFFLO99,HFFLO99,"Sunny Confidential,62cm,0 Boxes,0 Stems Per Box",1,1,1,0
248,HFOTHER001,HFOTHER001,Fuel,1,1,1,0
249,HFPM01,HFPM01,Flower Food,1,1,1,0
250,HFPM02,HFPM02,Afri Label Florescent K09-Yellow,1,1,1,0
251,HFPM03,HFPM03,Afri Label Florescent K09-Green,1,1,1,0
252,HFPM04,HFPM04,Afri Label Florescent K09-Blue,1,1,1,0
253,HFPM05,HFPM05,Afri Label Florescent K09-Orange,1,1,1,0
254,HFPM06,HFPM06,Afri Label Florescent K09-Red,1,1,1,0
255,HFPM07,HFPM07,Pepeo Self Adhesive Label C09,1,1,1,0
256,HFPM08,HFPM08,Thermal Transfer Ribbon 110x300,1,1,1,0
257,HFPM09,HFPM09,Box Thermal Label Rolls,1,1,1,0
258,HFPM10,HFPM10,Heritage Soliq STD Boxes(Generic) Size 975x315x200,1,1,1,0
