stock_id,category_id,tax_type_id,description,long_description,units,mb_flag,sales_account,cogs_account,inventory_account,adjustment_account,wip_account,dimension_id,dimension2_id,purchase_cost,material_cost,labour_cost,overhead_cost,inactive,no_sale,no_purchase,editable,depreciation_method,depreciation_rate,depreciation_factor,depreciation_start,depreciation_date,fa_class_id
HFFLO05,1,2,"Bellerose,42cm,0 Boxes,0 Stems Per Box","Bellerose,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO06,1,2,"Bellerose,52cm,0 Boxes,0 Stems Per Box","Bellerose,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO07,1,2,"Bellerose,62cm,0 Boxes,0 Stems Per Box","Bellerose,62cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO08,1,2,"Bellerose,72cm,0 Boxes,0 Stems Per Box","Bellerose,72cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO09,1,2,"Carise,42cm,0 Boxes,0 Stems Per Box","Carise,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO10,1,2,"Carise,52cm,0 Boxes,0 Stems Per Box","Carise,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO100,1,2,"Sunny Confidential,72cm,0 Boxes,0 Stems Per Box","Sunny Confidential,72cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO101,1,2,"Top Gear,42cm,0 Boxes,0 Stems Per Box","Top Gear,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO102,1,2,"Top Gear,52cm,0 Boxes,0 Stems Per Box","Top Gear,52cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
HFFLO103,1,2,"Top Gear,62cm,0 Boxes,0 Stems Per Box","Top Gear,62cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,0,0,0,0,0,0,0,S,0,1,2020-10-27,2020-10-27,
