stock_id,category_id,tax_type_id,description,long_description,units,mb_flag,sales_account,cogs_account,inventory_account,adjustment_account,wip_account,dimension_id,dimension2_id,purchase_cost,material_cost,labour_cost,overhead_cost,inactive,no_sale,no_purchase,editable,depreciation_method,depreciation_rate,depreciation_factor,depreciation_start,depreciation_date,fa_class_id
HFFE011,1,1,Copper Sulphate Granules,Copper Sulphate Granules,,B,4010,5010,1510,5040,1530,0,0,3.5,,,,,,,,,,,,,
HFFE012,1,1,Manganese Sulphate,Manganese Sulphate,,B,4010,5010,1510,5040,1530,0,0,1.15,,,,,,,,,,,,,
HFFE013,1,1,Zinc Sulphate,Zinc Sulphate,,B,4010,5010,1510,5040,1530,0,0,6.61,,,,,,,,,,,,,
HFFE014,1,1,Magnesium Sulphate,Magnesium Sulphate,,B,4010,5010,1510,5040,1530,0,0,0.25,,,,,,,,,,,,,
HFFE015,1,1,Mon Potassium Phospphate,Mon Potassium Phospphate,,B,4010,5010,1510,5040,1530,0,0,1.4,,,,,,,,,,,,,
HFFE016,1,1,Mono Ammonium Phosphate,Mono Ammonium Phosphate,,B,4010,5010,1510,5040,1530,0,0,0.87,,,,,,,,,,,,,
HFFE017,1,1,NPK 0-52-34 M K P 25Kgs,NPK 0-52-34 M K P 25Kgs,,B,4010,5010,1510,5040,1530,0,0,1.55,,,,,,,,,,,,,
HFFE018,1,1,Potassium Nitrate 25Kg,Potassium Nitrate 25Kg,,B,4010,5010,1510,5040,1530,0,0,0.92,,,,,,,,,,,,,
HFFE019,1,1,CropNutrient Silicon Foliar Fertilizer 500Ml,CropNutrient Silicon Foliar Fertilizer 500Ml,,B,4010,5010,1510,5040,1530,0,0,400,,,,,,,,,,,,,
HFFE020,1,1,EACBL Trufert Humi,Trufert Humi,,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
ROSES VARIETIES,1,,,,,B,4010,5010,1510,5040,1530,0,0,,,,,,,,,,,,,,
HFFL01,1,,"Athena,42cm,0 Boxes,0 Stems Per Box","Athena,42cm,0 Boxes,0 Stems Per Box",,B,4010,5010,1510,5040,1530,0,0,0,,,,,,,,,,,,,
