*ItemCode,ItemName,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount
HFFL10,"Carise,52cm,0 Boxes,0 Stems Per Box","Carise,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Carise,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL101,"Top Gear,42cm,0 Boxes,0 Stems Per Box","Top Gear,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Top Gear,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL102,"Top Gear,52cm,0 Boxes,0 Stems Per Box","Top Gear,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Top Gear,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL17,"Copa Cabana,42cm,0 Boxes,0 Stems Per Box","Copa Cabana,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Copa Cabana,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL18,"Copa Cabana,52cm,0 Boxes,0 Stems Per Box","Copa Cabana,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Copa Cabana,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL21,"Event,42cm,0 Boxes,0 Stems Per Box","Event,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Event,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL30,"High & Magic,52cm,0 Boxes,0 Stems Per Box","High & Magic,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"High & Magic,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL38,"Jumilla,52cm,0 Boxes,0 Stems Per Box","Jumilla,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Jumilla,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL42,"Kingsday,52cm,0 Boxes,0 Stems Per Box","Kingsday,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Kingsday,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL45,"Labelle,42cm,0 Boxes,0 Stems Per Box","Labelle,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Labelle,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL46,"Labelle,52cm,0 Boxes,0 Stems Per Box","Labelle,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Labelle,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL49,"Lampion,42cm,0 Boxes,0 Stems Per Box","Lampion,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Lampion,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL50,"Lampion,52cm,0 Boxes,0 Stems Per Box","Lampion,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Lampion,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL53,"Madam Cerice,42cm,0 Boxes,0 Stems Per Box","Madam Cerice,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Madam Cerice,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL54,"Madam Cerice,52cm,0 Boxes,0 Stems Per Box","Madam Cerice,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Madam Cerice,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL55,"Madam Cerice,62cm,0 Boxes,0 Stems Per Box","Madam Cerice,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Madam Cerice,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL57,"Madam Red,42cm,0 Boxes,0 Stems Per Box","Madam Red,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Madam Red,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL58,"Madam Red,52cm,0 Boxes,0 Stems Per Box","Madam Red,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Madam Red,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL59,"Madam Red,62cm,0 Boxes,0 Stems Per Box","Madam Red,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Madam Red,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL60,"Madam Red,72cm,0 Boxes,0 Stems Per Box","Madam Red,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Madam Red,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL73,"Movie Star,42cm,0 Boxes,0 Stems Per Box","Movie Star,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Movie Star,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL74,"Movie Star,52cm,0 Boxes,0 Stems Per Box","Movie Star,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Movie Star,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL81,"Nightingale,42cm,0 Boxes,0 Stems Per Box","Nightingale,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Nightingale,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL82,"Nightingale,52cm,0 Boxes,0 Stems Per Box","Nightingale,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Nightingale,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFL89,"Revival,42cm,0 Boxes,0 Stems Per Box","Revival,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Revival,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,631,312
HFFLO01,"Athena,42cm,0 Boxes,0 Stems Per Box","Athena,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Athena,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO02,"Athena,52cm,0 Boxes,0 Stems Per Box","Athena,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Athena,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO03,"Athena,62cm,0 Boxes,0 Stems Per Box","Athena,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Athena,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO04,"Athena,72cm,0 Boxes,0 Stems Per Box","Athena,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Athena,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO05,"Bellerose,42cm,0 Boxes,0 Stems Per Box","Bellerose,42cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Bellerose,42cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO06,"Bellerose,52cm,0 Boxes,0 Stems Per Box","Bellerose,52cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Bellerose,52cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO07,"Bellerose,62cm,0 Boxes,0 Stems Per Box","Bellerose,62cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Bellerose,62cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
HFFLO08,"Bellerose,72cm,0 Boxes,0 Stems Per Box","Bellerose,72cm,0 Boxes,0 Stems Per Box",0,,No Tax,"Bellerose,72cm,0 Boxes,0 Stems Per Box",0,200,Zero Rated Sales,,
